group,left,right,observable,method,timeSemantics,verdict,exitCode,leftReducedStates,rightReducedStates,bestWallClockMillis
case-ii,smarthome.statespace,smarthome-tc2step.statespace,"getSense,activateh,switchoff",union,unit,yes,0,,,92.2
case-ii,smarthome.statespace,smarthome-tc2step.statespace,"getSense,activateh,switchoff",union,strict,no,1,,,86.3
case-ii,smarthome.statespace,smarthome-tc2step.statespace,"getSense,activateh,switchoff",reduced-iso,unit,yes,0,28,28,104.6
case-ii,smarthome.statespace,smarthome-tc2step.statespace,"getSense,activateh,switchoff",reduced-iso,strict,no,1,10,12,104.9
case-ii,smarthome.statespace,smarthome-tc2step.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,unit,yes,0,10,10,104.9
case-ii,smarthome.statespace,smarthome-tc2step.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,strict,yes,0,10,10,104.4
case-ii,smarthome.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",union,unit,yes,0,,,98.3
case-ii,smarthome.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",union,strict,no,1,,,91.5
case-ii,smarthome.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso,unit,yes,0,28,28,120.7
case-ii,smarthome.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso,strict,no,1,10,14,96.3
case-ii,smarthome.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,unit,yes,0,10,10,123.0
case-ii,smarthome.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,strict,no,1,10,12,100.4
case-ii,smarthome-tc2step.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",union,unit,yes,0,,,99.1
case-ii,smarthome-tc2step.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",union,strict,no,1,,,91.4
case-ii,smarthome-tc2step.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso,unit,yes,0,28,28,123.3
case-ii,smarthome-tc2step.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso,strict,no,1,12,14,112.1
case-ii,smarthome-tc2step.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,unit,yes,0,10,10,114.3
case-ii,smarthome-tc2step.statespace,smarthome-notify.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,strict,no,1,10,12,105.2
case-ii,smarthome.statespace,smarthome-mutant.statespace,"getSense,activateh,switchoff",union,unit,no,1,,,106.0
case-ii,smarthome.statespace,smarthome-mutant.statespace,"getSense,activateh,switchoff",union,strict,no,1,,,86.4
case-ii,smarthome.statespace,smarthome-mutant.statespace,"getSense,activateh,switchoff",reduced-iso,unit,no,1,28,29,98.1
case-ii,smarthome.statespace,smarthome-mutant.statespace,"getSense,activateh,switchoff",reduced-iso,strict,no,1,10,10,93.8
case-ii,smarthome.statespace,smarthome-mutant.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,unit,no,1,10,10,100.6
case-ii,smarthome.statespace,smarthome-mutant.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,strict,no,1,10,10,95.2
case-ii,smarthome-tc2step.statespace,smarthome-tc2step-mutant.statespace,"getSense,activateh,switchoff",union,unit,no,1,,,110.3
case-ii,smarthome-tc2step.statespace,smarthome-tc2step-mutant.statespace,"getSense,activateh,switchoff",union,strict,no,1,,,90.5
case-ii,smarthome-tc2step.statespace,smarthome-tc2step-mutant.statespace,"getSense,activateh,switchoff",reduced-iso,unit,no,1,28,29,100.7
case-ii,smarthome-tc2step.statespace,smarthome-tc2step-mutant.statespace,"getSense,activateh,switchoff",reduced-iso,strict,no,1,12,12,99.5
case-ii,smarthome-tc2step.statespace,smarthome-tc2step-mutant.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,unit,no,1,10,10,117.7
case-ii,smarthome-tc2step.statespace,smarthome-tc2step-mutant.statespace,"getSense,activateh,switchoff",reduced-iso-spliced,strict,no,1,10,10,114.3
case-ii,smarthome-notify.statespace,smarthome-notify-mutant.statespace,"getSense,activateh,switchoff",union,unit,no,1,,,116.6
